id,Time,acc_x,acc_y,acc_z,gy_x,gy_y,gy_z,exercise
0,2021-06-21 16:49:02:31864,0.8160013265306122,-0.443404693877551,-0.39579240816326533,-0.42000002,-0.14,1.12,두손
0,2021-06-21 16:49:02:33834,0.8252796938775511,-0.4521946530612244,-0.39310657142857136,1.26,0.28,0.91,두손
0,2021-06-21 16:49:02:35865,0.8225938265306123,-0.4492646326530612,-0.3813865918367347,3.22,0.14,-0.14,두손
0,2021-06-21 16:49:02:37857,0.8362670408163264,-0.4575663265306122,-0.40336153061224483,4.27,-0.49,-0.98,두손
0,2021-06-21 16:49:02:39841,0.832848775510204,-0.4558571428571428,-0.3896882857142857,7.42,-0.63,-3.22,두손
0,2021-06-21 16:49:02:41819,0.8418828571428572,-0.46367040816326527,-0.39481571428571427,10.78,-0.84000003,-4.27,두손
0,2021-06-21 16:49:02:43856,0.8360229591836734,-0.4548804591836735,-0.3723524999999999,12.18,-0.63,-3.3600001000000006,두손
0,2021-06-21 16:49:02:4586,0.8301629591836734,-0.44218384693877544,-0.3813865918367347,9.87,-1.89,-2.17,두손
0,2021-06-21 16:49:02:47823,0.8218613265306123,-0.43095224489795914,-0.3950598775510203,6.51,-3.71,-2.59,두손
0,2021-06-21 16:49:02:49863,0.8274771428571428,-0.43290557142857133,-0.3921298979591837,5.25,-3.64,-3.01,두손
0,2021-06-21 16:49:02:51821,0.8421270408163264,-0.43583558163265307,-0.3804099795918367,5.6,-1.61,-2.94,두손
0,2021-06-21 16:49:02:53814,0.8460336734693877,-0.4468230306122448,-0.39554822448979593,6.23,-0.77,-3.5,두손
0,2021-06-21 16:49:02:5588,0.8445686734693877,-0.43730054081632647,-0.39286240816326534,4.69,0.91,-3.08,두손
0,2021-06-21 16:49:02:57829,0.8462778571428571,-0.43754469387755096,-0.3852932755102041,1.82,0.28,-1.61,두손
0,2021-06-21 16:49:02:59828,0.8338254081632652,-0.4416955102040816,-0.38895577551020405,0.56,-1.6800001,-0.14,두손
0,2021-06-21 16:49:02:61839,0.8338254081632652,-0.443404693877551,-0.3816307857142857,-0.98,-3.3600001000000006,0.98,두손
0,2021-06-21 16:49:02:63811,0.829918775510204,-0.45390377551020405,-0.3813865918367347,-1.33,-3.71,1.4,두손
0,2021-06-21 16:49:02:65839,0.8382204591836734,-0.45268295918367346,-0.3757708163265306,-1.47,-3.08,2.03,두손
0,2021-06-21 16:49:02:67843,0.8360229591836734,-0.4585429081632653,-0.38895577551020405,-1.26,-1.96,1.6800001,두손
0,2021-06-21 16:49:02:69851,0.8340696428571427,-0.4558571428571428,-0.3891999387755102,-1.33,-0.98,0.56,두손
0,2021-06-21 16:49:02:72843,0.8348021428571427,-0.44609051020408164,-0.3994548571428571,-0.84000003,-0.21000001,0.35,두손
0,2021-06-21 16:49:02:74857,0.8369995918367346,-0.4490205102040816,-0.399210693877551,-0.35,0.21000001,0.49,두손
0,2021-06-21 16:49:02:75872,0.8340696428571427,-0.45268295918367346,-0.3894441020408163,0.28,-0.14,-0.07,두손
0,2021-06-21 16:49:02:77816,0.8362670408163264,-0.45365966326530616,-0.39335075510204076,1.12,0.84000003,-0.91,두손
